Mes,2021,2022,2023,2024,2025,,,
Enero,89.972,131.71,77.938,85.385,102.867,,,
Febrero,72.533,130.931,87.733,80.984,103.755,,,https://www.ine.es/jaxiT3/Datos.htm?t=50905#_tabs-tabla
Marzo,80.963,168.261,81.175,86.821,97.913,,,
Abril,91.132,122.94,78.475,86.467,95.672,,,
Mayo,91.719,119.399,77.725,88.863,96.809,,,
Junio,97.621,130.238,80.681,91.938,100.216,,,https://www.ine.es/jaxiT3/Tabla.htm?t=50904&L=0
Julio,92.783,138.596,80.504,86.453,101.421,,,
Agosto,100.053,160.65,80.966,88.432,101.397,,,
Septiembre,110.936,133.369,82.273,86.622,101.193,,,
Octubre,122.057,103.301,80.546,87.007,103.296,,,
Noviembre,113.773,88.262,76.222,91.294,102.192,,,
Diciembre,136.457,94.416,78.078,92.617,253,,,
